name,n,readouts,grids,queries,modes,error_bound,time_s,peak_rss_mb,empirical_error,status
base,4,2,9/9,18,12,1.1318837221109233e-16,0.011643973004538566,69.5859375,7.216449660063518e-16,certified
cross,4,2,27/81,108,60,1.767901408695696e-16,0.14658842899370939,70.0234375,7.771561172376096e-16,certified
reupload,2,1,729,729,486,5.21274019361947e-16,0.5963399050524458,71.59375,1.2212453270876722e-15,certified
vqc8,8,2,6561/6561,0,,,0.0007612250046804547,69.8125,,inconclusive
zz3,3,3,3125/3125/3125,9375,1253,4.616151977980961e-16,39.21934419096215,78.41796875,3.4416913763379853e-15,certified
zz4linear,4,4,2187/2187/2187/2187,8748,296,1.8616149851374366e-16,42.7662235260359,104.46484375,2.4147350785597155e-15,certified
zz4full,4,4,59049/59049/59049/59049,0,,,0.0007038870244286954,98.03125,,inconclusive
z4,4,4,625/625/125/25,1400,840,1.8047756459061489e-16,8.66799461300252,100.02734375,2.9976021664879227e-15,certified
zyy3,3,3,729/729/729,2187,296,3.8025675608617517e-16,8.191599953977857,99.66015625,2.886579864025407e-15,certified
serial,1,1,7,7,7,1.5082168106042252e-16,0.01344702095957473,96.2734375,1.4432899320127035e-15,certified
